"Region","Andel Kvinnor 2015-2018","Andel Män 2015-2018","Andel Totalt 2015-2018"
"01 Stockholm län",4,6,5
"03 Uppsala län",3,8,6
"04 Södermanlands län",4,8,6
"05 Östergötlands län",7,7,7
"06 Jönköpings län",7,5,6
"07 Kronobergs län",4,5,5
"08 Kalmar län",6,9,8
"09 Gotlands län",6,8,7
"10 Blekinge län",6,7,6
"12 Skåne län",5,8,7
"13 Hallands län",3,8,5
"14 Västra Götalands län",5,7,6
"17 Värmlands län",6,9,7
"18 Örebro län",4,6,5
"19 Västmanlands län",6,7,6
"20 Dalarnas län",6,6,6
"21 Gävleborgs län",6,7,7
"22 Västernorrlands län",7,9,8
"23 Jämtlands län",4,6,5
"24 Västerbottens län",5,4,5
"25 Norrbottens län",6,7,7
