"Region","Röker dagligen Andel Kvinnor 2015-2018","Röker dagligen Andel Män 2015-2018","Röker dagligen Andel Totalt 2015-2018"
"01 Stockholm län",8,8,8
"03 Uppsala län",8,5,6
"04 Södermanlands län",11,9,10
"05 Östergötlands län",9,7,8
"06 Jönköpings län",10,8,9
"07 Kronobergs län",6,10,8
"08 Kalmar län",11,5,8
"09 Gotlands län",10,8,9
"10 Blekinge län",12,8,10
"12 Skåne län",11,11,11
"13 Hallands län",12,5,9
"14 Västra Götalands län",10,8,9
"17 Värmlands län",11,8,9
"18 Örebro län",8,10,9
"19 Västmanlands län",9,6,8
"20 Dalarnas län",5,7,6
"21 Gävleborgs län",11,5,8
"22 Västernorrlands län",9,7,8
"23 Jämtlands län",9,8,9
"24 Västerbottens län",7,3,5
"25 Norrbottens län",9,8,8
